date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Result(home_team),,home advantage,,home-score(skaliert),away_score(skaliert)
07/02/2000,Singapore,Malaysia,3,1,Friendly,Singapore,Singapore,FALSE,1,,1,,0.096774194,0.047619048
08/02/2000,Albania,Azerbaijan,1,0,Malta International Tournament,Attard,Malta,TRUE,1,,0,,0.032258065,0
08/02/2000,Malta,Andorra,1,1,Malta International Tournament,Attard,Malta,FALSE,0,,1,,0.032258065,0.047619048
08/02/2000,Mexico,Czech Republic,1,2,Lunar New Year Cup,So Kon Po,Hong Kong,TRUE,-1,,0,,0.032258065,0.095238095
08/02/2000,Syria,North Korea,5,1,Friendly,Damascus,Syria,FALSE,1,,1,,0.161290323,0.047619048
09/02/2000,Bulgaria,Slovakia,1,0,Friendly,Valparaíso,Chile,TRUE,1,,0,,0.032258065,0
09/02/2000,Cayman Islands,Jamaica,0,1,Friendly,George Town,Cayman Islands,FALSE,-1,,1,,0,0.047619048
09/02/2000,Chile,Australia,2,1,Friendly,Valparaíso,Chile,FALSE,1,,1,,0.064516129,0.047619048
09/02/2000,Honduras,El Salvador,5,1,Friendly,San Pedro Sula,Honduras,FALSE,1,,1,,0.161290323,0.047619048
10/02/2000,Andorra,Azerbaijan,0,0,Malta International Tournament,Attard,Malta,TRUE,0,,0,,0,0
10/02/2000,Cameroon,Tunisia,3,0,African Cup of Nations,Accra,Ghana,TRUE,1,,0,,0.096774194,0
10/02/2000,Hong Kong,Singapore,0,0,Friendly,Victoria,Hong Kong,FALSE,0,,1,,0,0
10/02/2000,Kuwait,Turkmenistan,6,1,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE,1,,1,,0.193548387,0.047619048
10/02/2000,Malta,Albania,0,1,Malta International Tournament,Attard,Malta,FALSE,-1,,1,,0,0.047619048
10/02/2000,Nepal,Yemen,0,3,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE,-1,,0,,0,0.142857143
10/02/2000,Nigeria,South Africa,2,0,African Cup of Nations,Lagos,Nigeria,FALSE,1,,1,,0.064516129,0
12/02/2000,Australia,Slovakia,0,0,Friendly,Valparaíso,Chile,TRUE,0,,0,,0,0
12/02/2000,Chile,Bulgaria,3,2,Friendly,Valparaíso,Chile,FALSE,1,,1,,0.096774194,0.095238095
12/02/2000,Colombia,Jamaica,1,0,Gold Cup,Miami,United States,TRUE,1,,0,,0.032258065,0
12/02/2000,Nepal,Bhutan,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE,1,,0,,0.096774194,0
12/02/2000,South Africa,Tunisia,2,2,African Cup of Nations,Accra,Ghana,TRUE,0,,0,,0.064516129,0.095238095
12/02/2000,United States,Haiti,3,0,Gold Cup,Miami,United States,FALSE,1,,1,,0.096774194,0
12/02/2000,Yemen,Turkmenistan,0,1,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE,-1,,0,,0,0.047619048
13/02/2000,Costa Rica,Canada,2,2,Gold Cup,San Diego,United States,TRUE,0,,0,,0.064516129,0.095238095
13/02/2000,Dominican Republic,British Virgin Islands,1,0,Friendly,Santo Domingo,Dominican Republic,FALSE,1,,1,,0.032258065,0
13/02/2000,Macau,Brunei,1,0,AFC Asian Cup qualification,Macau,Macau,FALSE,1,,1,,0.032258065,0
13/02/2000,Mexico,Trinidad and Tobago,4,0,Gold Cup,San Diego,United States,TRUE,1,,0,,0.129032258,0
13/02/2000,Nigeria,Cameroon,2,2,African Cup of Nations,Lagos,Nigeria,FALSE,0,,1,,0.064516129,0.095238095
13/02/2000,Singapore,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,TRUE,-1,,0,,0,0.142857143
13/02/2000,Syria,North Korea,0,0,Friendly,Damascus,Syria,FALSE,0,,1,,0,0
14/02/2000,Haiti,Peru,1,1,Gold Cup,Miami,United States,TRUE,0,,0,,0.032258065,0.047619048
14/02/2000,Jamaica,Honduras,0,2,Gold Cup,Miami,United States,TRUE,-1,,0,,0,0.095238095
14/02/2000,Kuwait,Bhutan,20,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE,1,,1,,0.64516129,0
14/02/2000,Turkmenistan,Nepal,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE,1,,0,,0.161290323,0
15/02/2000,Australia,Bulgaria,1,1,Friendly,Valparaíso,Chile,TRUE,0,,0,,0.032258065,0.047619048
15/02/2000,Canada,South Korea,0,0,Gold Cup,Los Angeles,United States,TRUE,0,,0,,0,0
15/02/2000,Chile,Slovakia,0,2,Friendly,Valparaíso,Chile,FALSE,-1,,1,,0,0.095238095
15/02/2000,Malaysia,Maldives,2,0,Friendly,Kuala Lumpur,Malaysia,FALSE,1,,1,,0.064516129,0
15/02/2000,Trinidad and Tobago,Guatemala,4,2,Gold Cup,Los Angeles,United States,TRUE,1,,0,,0.129032258,0.095238095
16/02/2000,Bhutan,Turkmenistan,0,8,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE,-1,,0,,0,0.380952381
16/02/2000,Honduras,Colombia,2,0,Gold Cup,Miami,United States,TRUE,1,,0,,0.064516129,0
16/02/2000,Japan,Brunei,9,0,AFC Asian Cup qualification,Macau,Macau,TRUE,1,,0,,0.290322581,0
16/02/2000,Kuwait,Yemen,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE,1,,1,,0.064516129,0
16/02/2000,Lebanon,North Korea,1,0,Friendly,Beirut,Lebanon,FALSE,1,,1,,0.032258065,0
16/02/2000,Macau,Singapore,0,1,AFC Asian Cup qualification,Macau,Macau,FALSE,-1,,1,,0,0.047619048
16/02/2000,Panama,El Salvador,4,1,Friendly,Panama City,Panama,FALSE,1,,1,,0.129032258,0.047619048
16/02/2000,United States,Peru,1,0,Gold Cup,Miami,United States,FALSE,1,,1,,0.032258065,0
17/02/2000,Barbados,Saint Kitts and Nevis,1,0,Friendly,Bridgetown,Barbados,FALSE,1,,1,,0.032258065,0
17/02/2000,South Korea,Costa Rica,2,2,Gold Cup,Los Angeles,United States,TRUE,0,,0,,0.064516129,0.095238095
17/02/2000,Malaysia,Maldives,3,0,Friendly,Kuala Lumpur,Malaysia,FALSE,1,,1,,0.096774194,0
17/02/2000,Mexico,Guatemala,1,1,Gold Cup,Los Angeles,United States,TRUE,0,,0,,0.032258065,0.047619048
18/02/2000,Kuwait,Nepal,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,FALSE,1,,1,,0.161290323,0
18/02/2000,Yemen,Bhutan,11,2,AFC Asian Cup qualification,Kuwait City,Kuwait,TRUE,1,,0,,0.35483871,0.095238095
19/02/2000,Dominica,Antigua and Barbuda,2,0,Friendly,Roseau,Dominica,FALSE,1,,1,,0.064516129,0
19/02/2000,Honduras,Peru,3,5,Gold Cup,Miami,United States,TRUE,-1,,0,,0.096774194,0.238095238
19/02/2000,Oman,Switzerland,1,4,Friendly,Muscat,Oman,FALSE,-1,,1,,0.032258065,0.19047619
19/02/2000,United Arab Emirates,Slovenia,1,1,Friendly,Muscat,Oman,TRUE,0,,0,,0.032258065,0.047619048
19/02/2000,United States,Colombia,2,2,Gold Cup,Miami,United States,FALSE,0,,1,,0.064516129,0.095238095
